data_date,org_code,elec_type,data_value,trade_code
2019-01-01,32401,1,1528811829,U
2019-01-01,32402,1,990902990,U
2019-01-01,32403,1,900634868,U
2019-01-01,32404,1,681666574,U
2019-01-01,32405,1,1824701310,U
2019-01-01,32406,1,870928267,U
2019-01-01,32407,1,483235412,U
2019-01-01,32408,1,486414970,U
2019-01-01,32409,1,631164277,U
2019-01-01,32410,1,555477721,U
2019-01-01,32411,1,422999462,U
2019-01-01,32412,1,498357684,U
2019-01-01,32413,1,455463497,U
2019-02-01,32401,1,1268874318,U
2019-02-01,32402,1,860754965,U
2019-02-01,32403,1,806850388,U
2019-02-01,32404,1,607111831,U
2019-02-01,32405,1,1517699423,U
2019-02-01,32406,1,856646132,U
2019-02-01,32407,1,457915627,U
2019-02-01,32408,1,475325952,U
2019-02-01,32409,1,636802551,U
2019-02-01,32410,1,540267829,U
2019-02-01,32411,1,388944404,U
2019-02-01,32412,1,515277809,U
2019-02-01,32413,1,427781294,U
2019-03-01,32401,1,909564949,U
2019-03-01,32402,1,611262257,U
2019-03-01,32403,1,496501607,U
2019-03-01,32404,1,414743939,U
2019-03-01,32405,1,1193685623,U
2019-03-01,32406,1,615395516,U
2019-03-01,32407,1,255427647,U
2019-03-01,32408,1,269950353,U
2019-03-01,32409,1,402792533,U
2019-03-01,32410,1,333160049,U
2019-03-01,32411,1,251359265,U
2019-03-01,32412,1,314602046,U
2019-03-01,32413,1,244682926,U
2019-04-01,32401,1,671064086,U
2019-04-01,32402,1,460529360,U
2019-04-01,32403,1,407064459,U
2019-04-01,32404,1,313453624,U
2019-04-01,32405,1,881205149,U
2019-04-01,32406,1,489831951,U
2019-04-01,32407,1,202912457,U
2019-04-01,32408,1,213217459,U
2019-04-01,32409,1,329332507,U
2019-04-01,32410,1,257224266,U
2019-04-01,32411,1,193231102,U
2019-04-01,32412,1,247970496,U
2019-04-01,32413,1,200712839,U
2019-05-01,32401,1,689423477,U
2019-05-01,32402,1,461572738,U
2019-05-01,32403,1,416576186,U
2019-05-01,32404,1,317261354,U
2019-05-01,32405,1,874922234,U
2019-05-01,32406,1,485103699,U
2019-05-01,32407,1,203579557,U
2019-05-01,32408,1,216562022,U
2019-05-01,32409,1,333082488,U
2019-05-01,32410,1,256893206,U
2019-05-01,32411,1,194714853,U
2019-05-01,32412,1,246816148,U
2019-05-01,32413,1,206394883,U
2019-06-01,32401,1,866913951,U
2019-06-01,32402,1,525325920,U
2019-06-01,32403,1,580407183,U
2019-06-01,32404,1,369613159,U
2019-06-01,32405,1,968005343,U
